feature,gain
vpip_pct,943.4511580467224
three_bet_pct,38.08717966079712
pfr_pct,37.87889862060547
cold_call_pct,24.633169889450073
avg_stack_bb,23.942399978637695
multiway_flop_pct,16.554190158843994
aggression_bets,7.456520080566406
cbet_flop_count,4.10614013671875
aggression_calls,0.0
aggression_frequency,0.0
cbet_flop_opps,0.0
cbet_flop_pct,0.0
cbet_river_count,0.0
cbet_river_opps,0.0
cbet_river_pct,0.0
cbet_turn_count,0.0
cbet_turn_opps,0.0
cbet_turn_pct,0.0
cold_call_count,0.0
cold_call_opps,0.0
flop_seen,0.0
fold_to_3bet_count,0.0
fold_to_3bet_opps,0.0
fold_to_3bet_pct,0.0
fold_to_4bet_count,0.0
fold_to_4bet_opps,0.0
fold_to_4bet_pct,0.0
fold_to_cbet_flop_count,0.0
fold_to_cbet_flop_opps,0.0
fold_to_cbet_flop_pct,0.0
fold_to_cbet_river_count,0.0
fold_to_cbet_river_opps,0.0
fold_to_cbet_river_pct,0.0
fold_to_cbet_turn_count,0.0
fold_to_cbet_turn_opps,0.0
fold_to_cbet_turn_pct,0.0
four_bet_count,0.0
four_bet_opps,0.0
four_bet_pct,0.0
hands_bb,0.0
hands_btn,0.0
hands_co,0.0
hands_hj,0.0
hands_lj,0.0
hands_other_position,0.0
hands_sb,0.0
hands_straddle,0.0
hands_total,0.0
hands_utg,0.0
hands_utg1,0.0
hands_utg2,0.0
headsup_flops,0.0
multiway_flops,0.0
pfr_count,0.0
rake_bb_per_100,0.0
squeeze_count,0.0
squeeze_opps,0.0
squeeze_pct,0.0
steal_attempt_pct,0.0
steal_attempts,0.0
steal_opps,0.0
steal_success,0.0
steal_success_pct,0.0
three_bet_count,0.0
three_bet_opps,0.0
vpip_count,0.0
vpip_opps,0.0
vpip_pfr_gap_pct,0.0
wsd_pct,0.0
wsd_wins,0.0
wtsd_count,0.0
wtsd_pct,0.0
wwsf_pct,0.0
wwsf_wins,0.0
